beta_b,beta_w,botnet
0.1,0.1,1.0
0.1,0.2,1.0
0.1,0.3,1.0
0.1,0.4,1.0
0.1,0.5,1.0
0.1,0.6,1.0
0.1,0.7,1.0
0.1,0.8,1.0
0.1,0.9,1.0
0.1,1.0,1.0
0.1,1.1,1.0
0.1,1.2,1.0
0.1,1.3,1.0
0.1,1.4,1.0
0.1,1.5,1.0
0.1,1.6,1.0
0.1,1.7,1.0
0.1,1.8,0.9878
0.1,1.9,0.9818
0.1,2.0,0.9511
0.1,2.1,0.98072
0.1,2.2,0.96745
0.1,2.3,0.9552799999999999
0.1,2.4,0.9457545454545456
0.1,2.5,0.9614750000000001
0.1,2.6,0.9436857142857143
0.1,2.7,0.9206666666666666
0.1,2.8,0.8840571428571428
0.1,2.9,0.7685375
0.1,3.0,0.7365535714285715
0.1,3.1,0.6887103448275862
0.1,3.2,0.6165714285714285
0.1,3.3,0.6785533333333335
0.1,3.4,0.5319095238095238
0.1,3.5,0.4905818181818182
0.1,3.6,0.48469999999999996
0.1,3.7,0.5036342857142858
0.1,3.8,0.36819999999999997
0.1,3.9,0.3542068965517241
0.1,4.0,0.3297296296296296
0.1,4.1,0.29638510638297866
0.1,4.2,0.3870739130434782
0.1,4.3,0.2798727272727273
0.1,4.4,0.2649419354838709
0.1,4.5,0.28781935483870974
0.1,4.6,0.1752021739130434
0.1,4.7,0.23772
0.1,4.8,0.16532156862745098
0.1,4.9,0.24011
0.1,5.0,0.20593913043478257
0.1,5.1,0.14847560975609755
0.1,5.2,0.1546722222222222
0.1,5.3,0.09009361702127662
0.1,5.4,0.12614374999999997
0.1,5.5,0.14602857142857145
0.1,5.6,0.09138275862068966
0.1,5.7,0.14299444444444445
0.1,5.8,0.09784509803921569
0.1,5.9,0.07956935483870968
0.1,6.0,0.07508088235294115
0.1,6.1,0.09493728813559324
0.1,6.2,0.054975362318840586
0.1,6.3,0.062103124999999995
0.1,6.4,0.04581960784313726
0.1,6.5,0.04123684210526316
0.1,6.6,0.044920312500000004
0.1,6.7,0.03303225806451614
0.1,6.8,0.03288260869565218
0.1,6.9,0.04005714285714286
0.1,7.0,0.034428301886792446
0.1,7.1,0.03628571428571428
0.1,7.2,0.024458064516129027
0.1,7.3,0.018083750000000003
0.1,7.4,0.023018867924528296
0.1,7.5,0.038295833333333335
0.1,7.6,0.019718181818181822
0.1,7.7,0.01940579710144927
0.1,7.8,0.006980555555555555
0.1,7.9,0.024629850746268656
0.1,8.0,0.020004761904761904
0.1,8.1,0.009385365853658538
0.1,8.2,0.013254285714285713
0.1,8.3,0.011500000000000002
0.1,8.4,0.01016081081081081
0.1,8.5,0.009619999999999998
0.1,8.6,0.008705479452054793
0.1,8.7,0.0049577464788732395
0.1,8.8,0.003822619047619048
0.1,8.9,0.003156410256410256
0.1,9.0,0.005915068493150686
0.1,9.1,0.0011144736842105263
0.1,9.2,0.0002472972972972973
0.1,9.3,0.0017714285714285714
0.1,9.4,0.0008942028985507247
0.1,9.5,0.001711475409836066
0.1,9.6,0.0017471428571428577
0.1,9.7,0.0011716417910447763
0.1,9.8,0.0003024096385542169
0.1,9.9,0.0015593406593406593
0.1,10.0,0.000532
0.2,0.1,1.0
0.2,0.2,1.0
0.2,0.3,1.0
0.2,0.4,1.0
0.2,0.5,1.0
0.2,0.6,1.0
0.2,0.7,1.0
0.2,0.8,1.0
0.2,0.9,1.0
0.2,1.0,1.0
0.2,1.1,1.0
0.2,1.2,1.0
0.2,1.3,1.0
0.2,1.4,1.0
0.2,1.5,0.9861
0.2,1.6,1.0
0.2,1.7,1.0
0.2,1.8,1.0
0.2,1.9,0.9847
0.2,2.0,0.9794
0.2,2.1,0.985025
0.2,2.2,0.9808
0.2,2.3,0.9183
0.2,2.4,0.9716785714285716
0.2,2.5,0.9363800000000001
0.2,2.6,0.8816999999999999
0.2,2.7,0.8706636363636364
0.2,2.8,0.8180250000000001
0.2,2.9,0.7519399999999999
0.2,3.0,0.7109681818181817
0.2,3.1,0.7096076923076922
0.2,3.2,0.6863411764705882
0.2,3.3,0.6141000000000001
0.2,3.4,0.6323681818181818
0.2,3.5,0.5654359999999999
0.2,3.6,0.502245238095238
0.2,3.7,0.4981552631578948
0.2,3.8,0.42062499999999997
0.2,3.9,0.4837619047619048
0.2,4.0,0.4480431818181818
0.2,4.1,0.4249516666666666
0.2,4.2,0.3763826923076923
0.2,4.3,0.41685263157894736
0.2,4.4,0.3796510204081633
0.2,4.5,0.30106111111111106
0.2,4.6,0.3120943396226415
0.2,4.7,0.28050238095238095
0.2,4.8,0.27013030303030305
0.2,4.9,0.23388048780487802
0.2,5.0,0.2897036363636364
0.2,5.1,0.2673264705882352
0.2,5.2,0.20821836734693874
0.2,5.3,0.1954285714285714
0.2,5.4,0.21846511627906978
0.2,5.5,0.18834237288135586
0.2,5.6,0.155490625
0.2,5.7,0.17558
0.2,5.8,0.17694821428571425
0.2,5.9,0.1300887096774194
0.2,6.0,0.12944137931034483
0.2,6.1,0.13373181818181817
0.2,6.2,0.09394693877551019
0.2,6.3,0.12404666666666668
0.2,6.4,0.1202063829787234
0.2,6.5,0.08885714285714287
0.2,6.6,0.08589791666666667
0.2,6.7,0.06771739130434781
0.2,6.8,0.0799140350877193
0.2,6.9,0.07047027027027028
0.2,7.0,0.05567808219178083
0.2,7.1,0.040085106382978714
0.2,7.2,0.04523676470588236
0.2,7.3,0.05222191780821918
0.2,7.4,0.04961718749999999
0.2,7.5,0.038912
0.2,7.6,0.01628235294117647
0.2,7.7,0.03437678571428572
0.2,7.8,0.023267999999999997
0.2,7.9,0.015815714285714284
0.2,8.0,0.023073972602739728
0.2,8.1,0.018590625
0.2,8.2,0.020457333333333334
0.2,8.3,0.013083999999999998
0.2,8.4,0.010549122807017542
0.2,8.5,0.013988888888888888
0.2,8.6,0.011280263157894732
0.2,8.7,0.011691891891891891
0.2,8.8,0.010279729729729731
0.2,8.9,0.0071687500000000015
0.2,9.0,0.009089610389610389
0.2,9.1,0.0028328358208955223
0.2,9.2,0.007242857142857141
0.2,9.3,0.0051453333333333325
0.2,9.4,0.0030417910447761193
0.2,9.5,0.003135135135135135
0.2,9.6,0.0014688524590163936
0.2,9.7,0.0021430555555555556
0.2,9.8,0.0021696629213483146
0.2,9.9,0.0014045454545454548
0.2,10.0,0.003901204819277108
0.3,0.1,1.0
0.3,0.2,1.0
0.3,0.3,1.0
0.3,0.4,1.0
0.3,0.5,1.0
0.3,0.6,1.0
0.3,0.7,1.0
0.3,0.8,1.0
0.3,0.9,1.0
0.3,1.0,1.0
0.3,1.1,1.0
0.3,1.2,1.0
0.3,1.3,1.0
0.3,1.4,1.0
0.3,1.5,1.0
0.3,1.6,0.9872
0.3,1.7,1.0
0.3,1.8,0.9857
0.3,1.9,0.9845
0.3,2.0,0.9871333333333333
0.3,2.1,0.9805
0.3,2.2,0.98465
0.3,2.3,0.9746571428571428
0.3,2.4,0.90705
0.3,2.5,0.9386571428571429
0.3,2.6,0.8705499999999999
0.3,2.7,0.8102615384615385
0.3,2.8,0.8475333333333332
0.3,2.9,0.7374
0.3,3.0,0.6991999999999999
0.3,3.1,0.6299285714285715
0.3,3.2,0.5897869565217392
0.3,3.3,0.6136923076923076
0.3,3.4,0.5600125
0.3,3.5,0.5010542857142857
0.3,3.6,0.5007952380952381
0.3,3.7,0.4970969696969697
0.3,3.8,0.4703238095238096
0.3,3.9,0.435808695652174
0.3,4.0,0.45236666666666664
0.3,4.1,0.38266976744186043
0.3,4.2,0.42353571428571435
0.3,4.3,0.35412857142857146
0.3,4.4,0.3911761904761905
0.3,4.5,0.35228666666666664
0.3,4.6,0.3464634146341463
0.3,4.7,0.31989672131147534
0.3,4.8,0.3233224489795919
0.3,4.9,0.3018277777777778
0.3,5.0,0.2932734693877551
0.3,5.1,0.27735882352941177
0.3,5.2,0.2681030303030303
0.3,5.3,0.25724468085106383
0.3,5.4,0.2284109090909091
0.3,5.5,0.21245970149253732
0.3,5.6,0.20732000000000003
0.3,5.7,0.2069967213114754
0.3,5.8,0.18144406779661013
0.3,5.9,0.2022066666666667
0.3,6.0,0.16424150943396226
0.3,6.1,0.16410615384615387
0.3,6.2,0.15986440677966102
0.3,6.3,0.1491229508196721
0.3,6.4,0.11338103448275863
0.3,6.5,0.11421632653061224
0.3,6.6,0.13992537313432835
0.3,6.7,0.12818200000000002
0.3,6.8,0.12041803278688523
0.3,6.9,0.08246818181818182
0.3,7.0,0.07446666666666667
0.3,7.1,0.047811764705882345
0.3,7.2,0.073625
0.3,7.3,0.06672962962962964
0.3,7.4,0.05243600000000001
0.3,7.5,0.05043214285714286
0.3,7.6,0.0764354430379747
0.3,7.7,0.04902000000000001
0.3,7.8,0.02345151515151515
0.3,7.9,0.034493827160493824
0.3,8.0,0.05176219512195121
0.3,8.1,0.04468823529411764
0.3,8.2,0.02543529411764706
0.3,8.3,0.020165277777777782
0.3,8.4,0.016761194029850747
0.3,8.5,0.02028955223880597
0.3,8.6,0.02482439024390244
0.3,8.7,0.019091549295774644
0.3,8.8,0.018850746268656716
0.3,8.9,0.006175
0.3,9.0,0.01238111111111111
0.3,9.1,0.010956962025316456
0.3,9.2,0.011248717948717946
0.3,9.3,0.010023076923076924
0.3,9.4,0.0034555555555555555
0.3,9.5,0.0047683544303797456
0.3,9.6,0.004059999999999999
0.3,9.7,0.004056976744186046
0.3,9.8,0.0015351351351351355
0.3,9.9,0.003455714285714286
0.3,10.0,0.002360526315789474
0.4,0.1,1.0
0.4,0.2,1.0
0.4,0.3,1.0
0.4,0.4,1.0
0.4,0.5,1.0
0.4,0.6,1.0
0.4,0.7,1.0
0.4,0.8,1.0
0.4,0.9,1.0
0.4,1.0,1.0
0.4,1.1,1.0
0.4,1.2,1.0
0.4,1.3,1.0
0.4,1.4,1.0
0.4,1.5,1.0
0.4,1.6,0.9877
0.4,1.7,1.0
0.4,1.8,0.9822
0.4,1.9,0.9848333333333333
0.4,2.0,0.958
0.4,2.1,0.9788
0.4,2.2,0.95924
0.4,2.3,0.89525
0.4,2.4,0.9286
0.4,2.5,1.0
0.4,2.6,0.92827
0.4,2.7,0.8668277777777778
0.4,2.8,0.8727166666666668
0.4,2.9,0.7960100000000001
0.4,3.0,0.6635142857142858
0.4,3.1,0.6944
0.4,3.2,0.617575
0.4,3.3,0.5542178571428572
0.4,3.4,0.5296692307692308
0.4,3.5,0.4878325581395348
0.4,3.6,0.4769032258064516
0.4,3.7,0.44752127659574475
