beta_b,beta_w,botnet
0.1,0.1,1.0
0.1,0.2,1.0
0.1,0.3,1.0
0.1,0.4,1.0
0.1,0.5,1.0
0.1,0.6,1.0
0.1,0.7,1.0
0.1,0.8,1.0
0.1,0.9,0.9765
0.1,1.0,0.953
0.1,1.1,1.0
0.1,1.2,0.6160166666666668
0.1,1.3,0.9226
0.1,1.4,0.9146
0.1,1.5,0.8727
0.1,1.6,0.71036
0.1,1.7,0.5492333333333334
0.1,1.8,0.7426818181818181
0.1,1.9,0.7754090909090909
0.1,2.0,0.6984625
0.1,2.1,0.5346916666666667
0.1,2.2,0.6345399999999999
0.1,2.3,0.48045217391304346
0.1,2.4,0.6670384615384616
0.1,2.5,0.4628764705882353
0.1,2.6,0.514796875
0.1,2.7,0.44386666666666674
0.1,2.8,0.59436875
0.1,2.9,0.47880434782608694
0.1,3.0,0.34851785714285716
0.1,3.1,0.458235
0.1,3.2,0.3044869565217392
0.1,3.3,0.4544323529411765
0.1,3.4,0.22815
0.1,3.5,0.32692195121951223
0.1,3.6,0.2526
0.1,3.7,0.29504444444444444
0.1,3.8,0.24608611111111106
0.1,3.9,0.23395172413793103
0.1,4.0,0.20788684210526318
0.1,4.1,0.18212549019607838
0.1,4.2,0.17766249999999997
0.1,4.3,0.11908214285714289
0.1,4.4,0.1738936170212766
0.1,4.5,0.19106363636363638
0.1,4.6,0.1808566037735849
0.1,4.7,0.16321272727272726
0.1,4.8,0.13359302325581396
0.1,4.9,0.10453246753246753
0.1,5.0,0.1411860465116279
0.1,5.1,0.13173555555555558
0.1,5.2,0.05578297872340427
0.1,5.3,0.076476
0.1,5.4,0.072490625
0.1,5.5,0.06588245614035088
0.1,5.6,0.036267857142857136
0.1,5.7,0.08797199999999998
0.1,5.8,0.029141304347826084
0.1,5.9,0.050611111111111114
0.1,6.0,0.08598048780487806
0.1,6.1,0.04852790697674419
0.1,6.2,0.03308181818181818
0.1,6.3,0.04249607843137254
0.1,6.4,0.04490843373493976
0.1,6.5,0.03164166666666666
0.1,6.6,0.03440212765957446
0.1,6.7,0.0411264705882353
0.1,6.8,0.022595081967213115
0.1,6.9,0.027328070175438597
0.1,7.0,0.026149090909090903
0.1,7.1,0.03719682539682541
0.1,7.2,0.028586486486486484
0.1,7.3,0.020510526315789476
0.1,7.4,0.013199999999999998
0.1,7.5,0.013985714285714285
0.1,7.6,0.008017460317460316
0.1,7.7,0.0046629629629629625
0.1,7.8,0.006735593220338982
0.1,7.9,0.015504285714285714
0.1,8.0,0.0019467741935483868
0.1,8.1,0.008455294117647057
0.1,8.2,0.0001779661016949153
0.1,8.3,0.0027816901408450703
0.1,8.4,0.005817543859649123
0.1,8.5,0.0058172413793103435
0.1,8.6,0.0031945454545454534
0.1,8.7,0.002232911392405063
0.1,8.8,0.001849122807017544
0.1,8.9,0.0006045454545454546
0.1,9.0,0.0002035087719298246
0.1,9.1,0.00174047619047619
0.1,9.2,0.0010433962264150944
0.1,9.3,0.00044603174603174593
0.1,9.4,0.000974576271186441
0.1,9.5,0.0003653333333333333
0.1,9.6,0.00028225806451612895
0.1,9.7,0.0014775510204081633
0.1,9.8,0.002268333333333333
0.1,9.9,0.0006056338028169016
0.1,10.0,0.00022857142857142854
0.2,0.1,1.0
0.2,0.2,1.0
0.2,0.3,1.0
0.2,0.4,1.0
0.2,0.5,1.0
0.2,0.6,1.0
0.2,0.7,1.0
0.2,0.8,0.97975
0.2,0.9,0.9755
0.2,1.0,0.9768
0.2,1.1,0.9883
0.2,1.2,0.9148909090909091
0.2,1.3,0.9091888888888889
0.2,1.4,0.8878333333333334
0.2,1.5,0.6969500000000001
0.2,1.6,0.8305857142857143
0.2,1.7,0.7433181818181819
0.2,1.8,0.8039454545454544
0.2,1.9,0.7691076923076923
0.2,2.0,0.68104
0.2,2.1,0.7008071428571429
0.2,2.2,0.6407904761904762
0.2,2.3,0.5942533333333333
0.2,2.4,0.542325
0.2,2.5,0.6317907407407408
0.2,2.6,0.5584451612903225
0.2,2.7,0.5330933333333333
0.2,2.8,0.5345705882352942
0.2,2.9,0.40414848484848487
0.2,3.0,0.4709340909090909
0.2,3.1,0.42973518518518516
0.2,3.2,0.4664684210526316
0.2,3.3,0.39472749999999995
0.2,3.4,0.43405185185185186
0.2,3.5,0.4141361111111111
0.2,3.6,0.2971885714285714
0.2,3.7,0.3671733333333334
0.2,3.8,0.26050869565217394
0.2,3.9,0.36797499999999994
0.2,4.0,0.22531290322580644
0.2,4.1,0.29036428571428574
0.2,4.2,0.2767488888888888
0.2,4.3,0.21589836065573764
0.2,4.4,0.205
0.2,4.5,0.2148906976744186
0.2,4.6,0.1838446808510638
0.2,4.7,0.18051803278688525
0.2,4.8,0.15061063829787236
0.2,4.9,0.23488409090909085
0.2,5.0,0.2568131578947368
0.2,5.1,0.11902638888888888
0.2,5.2,0.12804339622641508
0.2,5.3,0.13410166666666665
0.2,5.4,0.07416
0.2,5.5,0.07150363636363638
0.2,5.6,0.10063103448275862
0.2,5.7,0.06458163265306122
0.2,5.8,0.1985214285714286
0.2,5.9,0.06852222222222222
0.2,6.0,0.04299454545454545
0.2,6.1,0.06877173913043479
0.2,6.2,0.06064153846153846
0.2,6.3,0.06740740740740742
0.2,6.4,0.037330612244897955
0.2,6.5,0.036614814814814815
0.2,6.6,0.035520634920634925
0.2,6.7,0.03265892857142857
0.2,6.8,0.03568596491228071
0.2,6.9,0.036252941176470585
0.2,7.0,0.03481666666666667
0.2,7.1,0.04991971830985916
0.2,7.2,0.015285245901639342
0.2,7.3,0.029765079365079362
0.2,7.4,0.01306734693877551
0.2,7.5,0.018090625
0.2,7.6,0.008956521739130434
0.2,7.7,0.015218181818181818
0.2,7.8,0.02080142857142857
0.2,7.9,0.011676363636363634
0.2,8.0,0.0035351851851851846
0.2,8.1,0.007146153846153846
0.2,8.2,0.002511111111111111
0.2,8.3,0.010534328358208955
0.2,8.4,0.007294736842105265
0.2,8.5,0.0046478873239436625
0.2,8.6,0.003244117647058824
0.2,8.7,0.000985365853658537
0.2,8.8,0.006932000000000001
0.2,8.9,0.002484375
0.2,9.0,0.0015918032786885249
0.2,9.1,0.0034940298507462686
0.2,9.2,0.001985454545454546
0.2,9.3,0.0007371428571428572
0.2,9.4,0.0032453333333333336
0.2,9.5,0.0012606741573033709
0.2,9.6,0.0003726027397260274
0.2,9.7,0.0020877192982456144
0.2,9.8,0.0005876712328767124
0.2,9.9,0.001543283582089552
0.2,10.0,0.0003189873417721519
0.3,0.1,1.0
0.3,0.2,1.0
0.3,0.3,1.0
0.3,0.4,1.0
0.3,0.5,1.0
0.3,0.6,0.9857
0.3,0.7,1.0
0.3,0.8,0.9825666666666667
0.3,0.9,0.9539
0.3,1.0,0.9613333333333335
0.3,1.1,0.9182666666666667
0.3,1.2,0.92728
0.3,1.3,0.9745999999999999
0.3,1.4,0.8633200000000001
0.3,1.5,0.7884866666666667
0.3,1.6,0.8218666666666666
0.3,1.7,0.775753846153846
0.3,1.8,0.802690909090909
0.3,1.9,0.7529545454545453
0.3,2.0,0.627775
0.3,2.1,0.73151
0.3,2.2,0.67035
0.3,2.3,0.65293125
0.3,2.4,0.656
0.3,2.5,0.636584
0.3,2.6,0.5876407407407408
0.3,2.7,0.5585971428571429
0.3,2.8,0.5879000000000001
0.3,2.9,0.5838066666666667
0.3,3.0,0.4738346153846153
0.3,3.1,0.410403125
0.3,3.2,0.40038421052631584
0.3,3.3,0.5051892857142858
0.3,3.4,0.4364809523809524
0.3,3.5,0.35445957446808507
0.3,3.6,0.43463870967741924
0.3,3.7,0.4366765957446809
0.3,3.8,0.34127073170731703
0.3,3.9,0.2958235294117647
0.3,4.0,0.3266377358490566
0.3,4.1,0.2477553191489362
0.3,4.2,0.30025434782608695
0.3,4.3,0.36211428571428567
0.3,4.4,0.2622742857142857
0.3,4.5,0.16736774193548384
0.3,4.6,0.13496153846153844
0.3,4.7,0.23334307692307693
0.3,4.8,0.3014357142857143
0.3,4.9,0.15905
0.3,5.0,0.21107073170731708
0.3,5.1,0.13673913043478264
0.3,5.2,0.13766885245901636
0.3,5.3,0.11131333333333333
0.3,5.4,0.08657454545454546
0.3,5.5,0.14320499999999997
0.3,5.6,0.12515400000000002
0.3,5.7,0.11316792452830189
0.3,5.8,0.07387631578947369
0.3,5.9,0.07710408163265306
0.3,6.0,0.10870952380952384
0.3,6.1,0.12597333333333333
0.3,6.2,0.100475
0.3,6.3,0.07553194444444444
0.3,6.4,0.06988909090909091
0.3,6.5,0.04914754098360656
0.3,6.6,0.0657826923076923
0.3,6.7,0.049062666666666664
0.3,6.8,0.039741818181818184
0.3,6.9,0.019602531645569618
0.3,7.0,0.03461499999999999
0.3,7.1,0.044440983606557384
0.3,7.2,0.033988524590163945
0.3,7.3,0.03444782608695652
0.3,7.4,0.027580246913580245
0.3,7.5,0.018157627118644066
0.3,7.6,0.0235953125
0.3,7.7,0.022152083333333333
0.3,7.8,0.019589130434782605
0.3,7.9,0.02080576923076923
0.3,8.0,0.01764385964912281
0.3,8.1,0.013931578947368422
0.3,8.2,0.008528
0.3,8.3,0.006885542168674699
0.3,8.4,0.009822727272727275
0.3,8.5,0.007306666666666666
0.3,8.6,0.004798437500000001
0.3,8.7,0.0027742857142857144
0.3,8.8,0.004133783783783785
0.3,8.9,0.0028636363636363638
0.3,9.0,0.003058333333333333
0.3,9.1,0.002749090909090909
0.3,9.2,0.0044777777777777784
0.3,9.3,0.0014796296296296298
0.3,9.4,0.0012907407407407412
0.3,9.5,0.001475
0.3,9.6,0.0018126984126984132
0.3,9.7,0.0024416666666666666
0.3,9.8,0.0009615384615384616
0.3,9.9,0.001153932584269663
0.3,10.0,0.0007200000000000002
0.4,0.1,1.0
0.4,0.2,1.0
0.4,0.3,1.0
0.4,0.4,1.0
0.4,0.5,1.0
0.4,0.6,0.97675
0.4,0.7,0.9855
0.4,0.8,1.0
0.4,0.9,0.9654764705882353
0.4,1.0,0.9375
0.4,1.1,0.9205875000000001
0.4,1.2,0.92322
0.4,1.3,0.8904764705882353
0.4,1.4,0.88533125
0.4,1.5,0.8378000000000001
0.4,1.6,0.8082142857142857
0.4,1.7,0.7800363636363637
0.4,1.8,0.7593599999999999
0.4,1.9,0.7389111111111111
0.4,2.0,0.7094185185185187
0.4,2.1,0.7203166666666666
0.4,2.2,0.7221916666666667
0.4,2.3,0.6352166666666667
0.4,2.4,0.6460705882352941
0.4,2.5,0.6200705882352942
