beta,epsilon,gamma,protected,self,forced
2.0,0.1,1.0,0.0003443780615749034,0.00022216187415872914,0.0001222161874158375
2.0,0.10234114021054533,1.0,0.00034553638979597845,0.0002227408384207523,0.00012279555137541847
2.0,0.10473708979594494,1.0,0.00034672810207508805,0.00022333648825062987,0.0001233916138246294
2.0,0.10718913192051278,1.0,0.000347954329567737,0.00022394938897019064,0.0001240049405978539
2.0,0.10969857978923835,1.0,0.0003492162508798033,0.0002245801296127627,0.00012463612126735753
2.0,0.11226677735108136,1.0,0.000350515094557467,0.00022522932416813886,0.00012528577038929946
2.0,0.11489510001873092,1.0,0.0003518521417358647,0.00022589761290725736,0.0001259545288289039
2.0,0.11758495540521567,1.0,0.0003532287289625592,0.00022658566379049668,0.00012664306517223945
2.0,0.12033778407775896,1.0,0.00035464625119684194,0.00022729417396884027,0.0001273520772291438
2.0,0.12315506032928256,1.0,0.0003561061650252433,0.00022802387138784032,0.00012808229363725447
2.0,0.12603829296797275,1.0,0.00035760999206152554,0.0002287755164901493,0.00012883447557129657
2.0,0.12898902612533086,1.0,0.00035915932262088753,0.00022954990404969674,0.0001296094185704135
2.0,0.1320088400831418,1.0,0.00036075581959081865,0.00023034786510269718,0.0001304079544880532
2.0,0.13509935211980267,1.0,0.0003624012226286273,0.00023117026905045447,0.00013123095357811952
2.0,0.13826221737646557,1.0,0.00036409735260327673,0.0002320180258743264,0.0001320793267286829
2.0,0.1414991297434576,1.0,0.00036584611638123366,0.00023289208852990005,0.00013295402785112794
2.0,0.14481182276745339,1.0,0.00036764951194890325,0.0002337934555057029,0.00013385605644293958
2.0,0.14820207057988583,1.0,0.0003695096338929582,0.000234723173558214,0.000134786460334437
2.0,0.15167168884709228,1.0,0.00037142867931423267,0.00023568234067284188,0.00013574633864127974
2.0,0.15522253574270473,1.0,0.0003734089541492989,0.00023667210921696376,0.00013673684493222847
2.0,0.15885651294280528,1.0,0.0003754528799868404,0.00023769368934837952,0.0001377591906384173
2.0,0.16257556664437942,1.0,0.0003775630013993051,0.00023874835267740925,0.0001388146487219067
2.0,0.1663816886076129,1.0,0.0003797419938439443,0.00023983743621496098,0.00013990455762872677
2.0,0.17027691722259,1.0,0.0003819926721763045,0.0002409623466262255,0.00014103032555025713
2.0,0.174263338600965,1.0,0.0003843179998485116,0.00024212456482528667,0.00014219343502365345
2.0,0.17834308769319093,1.0,0.00038672110307630365,0.0002433256545320101,0.00014339544854413368
2.0,0.18251834943190434,1.0,0.0003892052645980968,0.00024456725321596984,0.00014463801138211652
2.0,0.1867913599020783,1.0,0.0003917739608530361,0.00024585109962314133,0.0001459228612303504
