"beta","epsilon","protected","low","high"
0.5,0.1,0,0,0
0.5,0.2,0,0,0
0.5,0.3,0,0,0
0.5,0.4,0,0,0
0.5,0.5,0,0,0
0.5,0.6,0,0,0
0.5,0.7,0,0,0
0.5,0.8,0,0,0
0.5,0.9,0,0,0
0.5,1,0,0,0
0.5,1.1,0,0,0
0.5,1.2,0,0,0
0.5,1.3,0,0,0
0.5,1.4,0,0,0
0.5,1.5,0,0,0
0.5,1.6,0,0,0
0.5,1.7,0,0,0
0.5,1.8,0,0,0
0.5,1.9,0,0,0
0.5,2,0,0,0
1,0.1,0,0,0
1,0.2,0,0,0
1,0.3,0.0144,0.0118,0.0208
1,0.4,0.023,0.012,0.023
1,0.5,0.016,0.013,0.019833333333333
1,0.6,0,0,0
1,0.7,0.0215,0.01775,0.02825
1,0.8,0.017333333333333,0.013833333333333,0.020833333333333
1,0.9,0.0124,0.0114,0.0132
1,1,0.012666666666667,0.011,0.013666666666667
1,1.1,0.0211,0.0148,0.0332
1,1.2,0.0165,0.013166666666667,0.020166666666667
1,1.3,0.0305,0.027,0.0305
1,1.4,0.020166666666667,0.014666666666667,0.026
1,1.5,0.0186,0.013,0.0288
1,1.6,0.0205,0.015375,0.0265
1,1.7,0.034714285714286,0.022142857142857,0.046361308940682
1,1.8,0.018,0.0138,0.0242
1,1.9,0.022,0.0145,0.02625
1,2,0.0135,0.012,0.01425
1.5,0.1,0,0,0
1.5,0.2,0,0,0
1.5,0.3,0.015166666666667,0.012166666666667,0.022666666666667
1.5,0.4,0.014222222222222,0.012444444444445,0.018
1.5,0.5,0.017571428571429,0.011857142857143,0.025571428571429
1.5,0.6,0.02675,0.016125,0.043125
1.5,0.7,0.03075,0.022583333333333,0.045583333333333
1.5,0.8,0.0362,0.024,0.066266666666667
1.5,0.9,0.025545454545455,0.019090909090909,0.036
1.5,1,0.025142857142857,0.017357142857143,0.041142857142857
1.5,1.1,0.020272727272727,0.015363636363636,0.027090909090909
1.5,1.2,0.038555555555556,0.027722222222222,0.055277777777778
1.5,1.3,0.048421052631579,0.032263157894737,0.071130927034916
1.5,1.4,0.038,0.029571428571429,0.053190476190476
1.5,1.5,0.055066666666667,0.0374,0.079333333333333
1.5,1.6,0.042578947368421,0.02821052631579,0.066955950785499
1.5,1.7,0.07745,0.0522,0.10926713648395
1.5,1.8,0.073466666666667,0.039133333333333,0.140662010689672
1.5,1.9,0.1071,0.0669,0.166454484451586
