V,B,W_B,C_B,C,W,P,t
98.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
97.0,2.0,0.0,0.0,1.0,0.0,0.0,0.002256199813186722
96.0,3.0,0.0,0.0,1.0,0.0,0.0,0.009766192344039417
95.0,4.0,0.0,0.0,1.0,0.0,0.0,0.01179356852546299
94.0,5.0,0.0,0.0,1.0,0.0,0.0,0.012301163658038121
93.0,6.0,0.0,0.0,1.0,0.0,0.0,0.012787386899654852
92.0,7.0,0.0,0.0,1.0,0.0,0.0,0.01351742558238559
91.0,8.0,0.0,0.0,1.0,0.0,0.0,0.013682632821120108
90.0,9.0,0.0,0.0,1.0,0.0,0.0,0.01514184243749596
89.0,10.0,0.0,0.0,1.0,0.0,0.0,0.016730721327441182
88.0,11.0,0.0,0.0,1.0,0.0,0.0,0.018174598410585135
87.0,12.0,0.0,0.0,1.0,0.0,0.0,0.019089453596157494
86.0,13.0,0.0,0.0,1.0,0.0,0.0,0.019637973979782068
85.0,14.0,0.0,0.0,1.0,0.0,0.0,0.021160041426286722
84.0,15.0,0.0,0.0,1.0,0.0,0.0,0.021169476928895207
83.0,16.0,0.0,0.0,1.0,0.0,0.0,0.02203753232913365
82.0,17.0,0.0,0.0,1.0,0.0,0.0,0.022345197562607874
81.0,18.0,0.0,0.0,1.0,0.0,0.0,0.022737622529455825
80.0,19.0,0.0,0.0,1.0,0.0,0.0,0.023044755317525974
79.0,20.0,0.0,0.0,1.0,0.0,0.0,0.023166931482731256
78.0,21.0,0.0,0.0,1.0,0.0,0.0,0.023278636043587084
77.0,22.0,0.0,0.0,1.0,0.0,0.0,0.024145158994119616
76.0,23.0,0.0,0.0,1.0,0.0,0.0,0.024347664236354365
75.0,24.0,0.0,0.0,1.0,0.0,0.0,0.02457275072935105
74.0,25.0,0.0,0.0,1.0,0.0,0.0,0.025187341180455708
74.0,25.0,0.0,1.0,0.0,0.0,0.0,0.025703475615266543
73.0,26.0,0.0,1.0,0.0,0.0,0.0,0.025781033009133363
72.0,27.0,0.0,1.0,0.0,0.0,0.0,0.026081017157979072
71.0,28.0,0.0,1.0,0.0,0.0,0.0,0.026336571494693
70.0,29.0,0.0,1.0,0.0,0.0,0.0,0.027135098411117203
69.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0271854377459943
68.0,31.0,0.0,1.0,0.0,0.0,0.0,0.02790905313884872
67.0,32.0,0.0,1.0,0.0,0.0,0.0,0.02792554897687242
66.0,33.0,0.0,1.0,0.0,0.0,0.0,0.028015354986415955
65.0,34.0,0.0,1.0,0.0,0.0,0.0,0.028178552962023973
64.0,35.0,0.0,1.0,0.0,0.0,0.0,0.029483245659322085
63.0,36.0,0.0,1.0,0.0,0.0,0.0,0.03035289583931865
62.0,37.0,0.0,1.0,0.0,0.0,0.0,0.03130497255562821
61.0,38.0,0.0,1.0,0.0,0.0,0.0,0.03147069863697388
60.0,39.0,0.0,1.0,0.0,0.0,0.0,0.03165231163686854
59.0,40.0,0.0,1.0,0.0,0.0,0.0,0.031848742977092295
58.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0324375802142918
57.0,42.0,0.0,1.0,0.0,0.0,0.0,0.03294830984526739
56.0,43.0,0.0,1.0,0.0,0.0,0.0,0.03303665478006429
55.0,44.0,0.0,1.0,0.0,0.0,0.0,0.03303936405045459
54.0,45.0,0.0,1.0,0.0,0.0,0.0,0.03341986739572272
53.0,46.0,0.0,1.0,0.0,0.0,0.0,0.033436579989896256
52.0,47.0,0.0,1.0,0.0,0.0,0.0,0.03363799718339496
51.0,48.0,0.0,1.0,0.0,0.0,0.0,0.0336998484972004
50.0,49.0,0.0,1.0,0.0,0.0,0.0,0.03371434680212762
49.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0340788960421763
48.0,51.0,0.0,1.0,0.0,0.0,0.0,0.03503488613757414
47.0,52.0,0.0,1.0,0.0,0.0,0.0,0.03592939881373489
46.0,53.0,0.0,1.0,0.0,0.0,0.0,0.03639874934700583
45.0,54.0,0.0,1.0,0.0,0.0,0.0,0.03671843950122975
44.0,55.0,0.0,1.0,0.0,0.0,0.0,0.037056223244715324
43.0,56.0,0.0,1.0,0.0,0.0,0.0,0.03706970867893298
42.0,57.0,0.0,1.0,0.0,0.0,0.0,0.037235748477832745
41.0,58.0,0.0,1.0,0.0,0.0,0.0,0.03787472880614896
40.0,59.0,0.0,1.0,0.0,0.0,0.0,0.03817290447922915
39.0,60.0,0.0,1.0,0.0,0.0,0.0,0.03854453611394032
38.0,61.0,0.0,1.0,0.0,0.0,0.0,0.03870892696621486
37.0,62.0,0.0,1.0,0.0,0.0,0.0,0.03953481304343057
36.0,63.0,0.0,1.0,0.0,0.0,0.0,0.039824478518229026
35.0,64.0,0.0,1.0,0.0,0.0,0.0,0.040062665188463686
34.0,65.0,0.0,1.0,0.0,0.0,0.0,0.041670011982238096
33.0,66.0,0.0,1.0,0.0,0.0,0.0,0.0418267354575688
32.0,67.0,0.0,1.0,0.0,0.0,0.0,0.04185685309707292
