V,B,W_B,C_B,C,W,P,t
98.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
97.0,2.0,0.0,0.0,1.0,0.0,0.0,0.000977881067507418
96.0,3.0,0.0,0.0,1.0,0.0,0.0,0.010200653286755585
95.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0110072827579423
94.0,5.0,0.0,0.0,1.0,0.0,0.0,0.012355072478506432
93.0,6.0,0.0,0.0,1.0,0.0,0.0,0.012493747294997474
92.0,7.0,0.0,0.0,1.0,0.0,0.0,0.013032498102061581
91.0,8.0,0.0,0.0,1.0,0.0,0.0,0.013362843087298088
90.0,9.0,0.0,0.0,1.0,0.0,0.0,0.016434784580858824
89.0,10.0,0.0,0.0,1.0,0.0,0.0,0.017014248149453435
88.0,11.0,0.0,0.0,1.0,0.0,0.0,0.019024711305485567
87.0,12.0,0.0,0.0,1.0,0.0,0.0,0.020125348178293152
86.0,13.0,0.0,0.0,1.0,0.0,0.0,0.021676185748095947
85.0,14.0,0.0,0.0,1.0,0.0,0.0,0.02336961168147158
84.0,15.0,0.0,0.0,1.0,0.0,0.0,0.024769893075965062
83.0,16.0,0.0,0.0,1.0,0.0,0.0,0.026903059222422476
83.0,16.0,0.0,1.0,0.0,0.0,0.0,0.02732080759332999
82.0,17.0,0.0,1.0,0.0,0.0,0.0,0.027410380403493986
81.0,18.0,0.0,1.0,0.0,0.0,0.0,0.027937554072998333
80.0,19.0,0.0,1.0,0.0,0.0,0.0,0.029333836940077383
79.0,20.0,0.0,1.0,0.0,0.0,0.0,0.02994782309979438
78.0,21.0,0.0,1.0,0.0,0.0,0.0,0.029970165876453146
77.0,22.0,0.0,1.0,0.0,0.0,0.0,0.03033496921302326
76.0,23.0,0.0,1.0,0.0,0.0,0.0,0.03097636784756733
75.0,24.0,0.0,1.0,0.0,0.0,0.0,0.03181986628064924
74.0,25.0,0.0,1.0,0.0,0.0,0.0,0.03187096586918022
73.0,26.0,0.0,1.0,0.0,0.0,0.0,0.03215623768340824
72.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0322057268008043
71.0,28.0,0.0,1.0,0.0,0.0,0.0,0.03228951980440665
70.0,29.0,0.0,1.0,0.0,0.0,0.0,0.03322652091452634
69.0,30.0,0.0,1.0,0.0,0.0,0.0,0.033721403246106854
68.0,31.0,0.0,1.0,0.0,0.0,0.0,0.03443347290882165
67.0,32.0,0.0,1.0,0.0,0.0,0.0,0.03484298966905247
66.0,33.0,0.0,1.0,0.0,0.0,0.0,0.03492926639909885
65.0,34.0,0.0,1.0,0.0,0.0,0.0,0.03497738837516217
64.0,35.0,0.0,1.0,0.0,0.0,0.0,0.035230242309076384
63.0,36.0,0.0,1.0,0.0,0.0,0.0,0.03548087731358388
62.0,37.0,0.0,1.0,0.0,0.0,0.0,0.036114558687180276
61.0,38.0,0.0,1.0,0.0,0.0,0.0,0.03615087270625951
60.0,39.0,0.0,1.0,0.0,0.0,0.0,0.036693737104345675
59.0,40.0,0.0,1.0,0.0,0.0,0.0,0.03709867599393789
58.0,41.0,0.0,1.0,0.0,0.0,0.0,0.03729262361230542
57.0,42.0,0.0,1.0,0.0,0.0,0.0,0.037441998798375516
56.0,43.0,0.0,1.0,0.0,0.0,0.0,0.03747624849866551
55.0,44.0,0.0,1.0,0.0,0.0,0.0,0.03801999561809663
