V,B,W_B,C_B,C,W,P,t
98.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
97.0,2.0,0.0,0.0,1.0,0.0,0.0,0.012584961630656833
96.0,3.0,0.0,0.0,1.0,0.0,0.0,0.018294928174074174
95.0,4.0,0.0,0.0,1.0,0.0,0.0,0.01868207503240088
94.0,5.0,0.0,0.0,1.0,0.0,0.0,0.019375315374519538
93.0,6.0,0.0,0.0,1.0,0.0,0.0,0.022143310458039325
92.0,7.0,0.0,0.0,1.0,0.0,0.0,0.023670244880575758
91.0,8.0,0.0,0.0,1.0,0.0,0.0,0.025413224073341713
90.0,9.0,0.0,0.0,1.0,0.0,0.0,0.026043669036655243
89.0,10.0,0.0,0.0,1.0,0.0,0.0,0.028879502837384854
88.0,11.0,0.0,0.0,1.0,0.0,0.0,0.03195552867135981
87.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0320362907858476
86.0,13.0,0.0,0.0,1.0,0.0,0.0,0.032642483343821915
85.0,14.0,0.0,0.0,1.0,0.0,0.0,0.03332671430029649
84.0,15.0,0.0,0.0,1.0,0.0,0.0,0.034074283005369646
83.0,16.0,0.0,0.0,1.0,0.0,0.0,0.035344227791738896
82.0,17.0,0.0,0.0,1.0,0.0,0.0,0.035353694811359984
81.0,18.0,0.0,0.0,1.0,0.0,0.0,0.03616485490027498
80.0,19.0,0.0,0.0,1.0,0.0,0.0,0.03618277814270052
79.0,20.0,0.0,0.0,1.0,0.0,0.0,0.03965837407732902
78.0,21.0,0.0,0.0,1.0,0.0,0.0,0.040037756433248244
77.0,22.0,0.0,0.0,1.0,0.0,0.0,0.04015855530399149
76.0,23.0,0.0,0.0,1.0,0.0,0.0,0.04163559362918569
75.0,24.0,0.0,0.0,1.0,0.0,0.0,0.043078400818789206
74.0,25.0,0.0,0.0,1.0,0.0,0.0,0.043119362119267486
73.0,26.0,0.0,0.0,1.0,0.0,0.0,0.04341213182774518
72.0,27.0,0.0,0.0,1.0,0.0,0.0,0.04404609122649205
71.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0447237015285029
70.0,29.0,0.0,0.0,1.0,0.0,0.0,0.04513908740050194
69.0,30.0,0.0,0.0,1.0,0.0,0.0,0.04550669824064703
68.0,31.0,0.0,0.0,1.0,0.0,0.0,0.04579263398320465
67.0,32.0,0.0,0.0,1.0,0.0,0.0,0.04596452986878713
66.0,33.0,0.0,0.0,1.0,0.0,0.0,0.046425401277984245
65.0,34.0,0.0,0.0,1.0,0.0,0.0,0.046735413897279
64.0,35.0,0.0,0.0,1.0,0.0,0.0,0.04693544992668404
63.0,36.0,0.0,0.0,1.0,0.0,0.0,0.04720591163039626
62.0,37.0,0.0,0.0,1.0,0.0,0.0,0.048468510279184286
61.0,38.0,0.0,0.0,1.0,0.0,0.0,0.04847863864819788
60.0,39.0,0.0,0.0,1.0,0.0,0.0,0.04856212556684164
59.0,40.0,0.0,0.0,1.0,0.0,0.0,0.048680607484560975
58.0,41.0,0.0,0.0,1.0,0.0,0.0,0.048899951863427625
57.0,42.0,0.0,0.0,1.0,0.0,0.0,0.04971106381889504
56.0,43.0,0.0,0.0,1.0,0.0,0.0,0.050323588893094066
55.0,44.0,0.0,0.0,1.0,0.0,0.0,0.05054855546996532
54.0,45.0,0.0,0.0,1.0,0.0,0.0,0.05153857493421051
53.0,46.0,0.0,0.0,1.0,0.0,0.0,0.05155575796726283
52.0,47.0,0.0,0.0,1.0,0.0,0.0,0.05160911206014279
51.0,48.0,0.0,0.0,1.0,0.0,0.0,0.05217611195228186
50.0,49.0,0.0,0.0,1.0,0.0,0.0,0.05221157757055042
49.0,50.0,0.0,0.0,1.0,0.0,0.0,0.052262382563929004
48.0,51.0,0.0,0.0,1.0,0.0,0.0,0.05248364884949228
47.0,52.0,0.0,0.0,1.0,0.0,0.0,0.05316355495031404
46.0,53.0,0.0,0.0,1.0,0.0,0.0,0.05422021506260644
45.0,54.0,0.0,0.0,1.0,0.0,0.0,0.05447564723575171
44.0,55.0,0.0,0.0,1.0,0.0,0.0,0.05449623183553184
43.0,56.0,0.0,0.0,1.0,0.0,0.0,0.05508936776586183
42.0,57.0,0.0,0.0,1.0,0.0,0.0,0.055564372719487345
41.0,58.0,0.0,0.0,1.0,0.0,0.0,0.05599005335712768
40.0,59.0,0.0,0.0,1.0,0.0,0.0,0.05819188984612569
39.0,60.0,0.0,0.0,1.0,0.0,0.0,0.05824548342906201
38.0,61.0,0.0,0.0,1.0,0.0,0.0,0.05851993243646861
37.0,62.0,0.0,0.0,1.0,0.0,0.0,0.059102761243853545
36.0,63.0,0.0,0.0,1.0,0.0,0.0,0.05921179970815839
35.0,64.0,0.0,0.0,1.0,0.0,0.0,0.06024073969116268
34.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0606896076762273
33.0,66.0,0.0,0.0,1.0,0.0,0.0,0.06114072026365764
32.0,67.0,0.0,0.0,1.0,0.0,0.0,0.062106725731801406
31.0,68.0,0.0,0.0,1.0,0.0,0.0,0.06254285730687745
30.0,69.0,0.0,0.0,1.0,0.0,0.0,0.06360420322740123
29.0,70.0,0.0,0.0,1.0,0.0,0.0,0.06363519949058943
28.0,71.0,0.0,0.0,1.0,0.0,0.0,0.06377388791528368
27.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0638474559495413
26.0,73.0,0.0,0.0,1.0,0.0,0.0,0.06475525225918198
25.0,74.0,0.0,0.0,1.0,0.0,0.0,0.06479680424264492
24.0,75.0,0.0,0.0,1.0,0.0,0.0,0.06500556615287038
23.0,76.0,0.0,0.0,1.0,0.0,0.0,0.06533823222940795
22.0,77.0,0.0,0.0,1.0,0.0,0.0,0.06693794648686634
21.0,78.0,0.0,0.0,1.0,0.0,0.0,0.0669831681070885
20.0,79.0,0.0,0.0,1.0,0.0,0.0,0.06723297200565553
19.0,80.0,0.0,0.0,1.0,0.0,0.0,0.06757280640388391
19.0,80.0,0.0,1.0,0.0,0.0,0.0,0.06767415518179187
18.0,81.0,0.0,1.0,0.0,0.0,0.0,0.06868188846557284
17.0,82.0,0.0,1.0,0.0,0.0,0.0,0.0696637041070454
16.0,83.0,0.0,1.0,0.0,0.0,0.0,0.06966560337099198
15.0,84.0,0.0,1.0,0.0,0.0,0.0,0.06987817617529771
14.0,85.0,0.0,1.0,0.0,0.0,0.0,0.07043890167410914
13.0,86.0,0.0,1.0,0.0,0.0,0.0,0.07078936610084631
12.0,87.0,0.0,1.0,0.0,0.0,0.0,0.07330515613757804
11.0,88.0,0.0,1.0,0.0,0.0,0.0,0.07391280337192244
10.0,89.0,0.0,1.0,0.0,0.0,0.0,0.07434624941026642
9.0,90.0,0.0,1.0,0.0,0.0,0.0,0.07587124648584993
8.0,91.0,0.0,1.0,0.0,0.0,0.0,0.08065632741795478
7.0,92.0,0.0,1.0,0.0,0.0,0.0,0.08088619940110044
6.0,93.0,0.0,1.0,0.0,0.0,0.0,0.08141673383989594
5.0,94.0,0.0,1.0,0.0,0.0,0.0,0.08377248128506744
4.0,95.0,0.0,1.0,0.0,0.0,0.0,0.08420594837888144
3.0,96.0,0.0,1.0,0.0,0.0,0.0,0.0873166011808999
2.0,97.0,0.0,1.0,0.0,0.0,0.0,0.08747684253013895
1.0,98.0,0.0,1.0,0.0,0.0,0.0,0.08750125152098845
0.0,99.0,0.0,1.0,0.0,0.0,0.0,0.09092140548800715
0.0,99.0,1.0,0.0,0.0,0.0,0.0,0.30701707186453464
0.0,98.0,1.0,1.0,0.0,0.0,0.0,0.30956693797147883
0.0,97.0,1.0,2.0,0.0,0.0,0.0,0.3122503234449391
0.0,96.0,1.0,3.0,0.0,0.0,0.0,0.3333103911492753
0.0,95.0,1.0,4.0,0.0,0.0,0.0,0.374568412478563
0.0,94.0,1.0,5.0,0.0,0.0,0.0,0.37905356746261826
0.0,93.0,1.0,6.0,0.0,0.0,0.0,0.38857173622873137
0.0,92.0,1.0,7.0,0.0,0.0,0.0,0.3951683142962881
0.0,91.0,1.0,8.0,0.0,0.0,0.0,0.3952073617464001
0.0,90.0,1.0,9.0,0.0,0.0,0.0,0.3971634858521577
0.0,90.0,1.0,8.0,0.0,0.0,1.0,0.399257355008955
0.0,89.0,1.0,9.0,0.0,0.0,1.0,0.40450152719861127
0.0,88.0,1.0,10.0,0.0,0.0,1.0,0.40961022185039064
0.0,87.0,1.0,11.0,0.0,0.0,1.0,0.42225832162641047
0.0,87.0,2.0,10.0,0.0,0.0,1.0,0.45313049896808594
0.0,86.0,2.0,11.0,0.0,0.0,1.0,0.4566728907071215
0.0,85.0,2.0,12.0,0.0,0.0,1.0,0.46226513537440067
0.0,84.0,2.0,13.0,0.0,0.0,1.0,0.47168449960861264
0.0,83.0,2.0,14.0,0.0,0.0,1.0,0.4727436501832565
0.0,82.0,2.0,15.0,0.0,0.0,1.0,0.47493928965285287
0.0,81.0,2.0,16.0,0.0,0.0,1.0,0.47777152229879444
0.0,80.0,2.0,17.0,0.0,0.0,1.0,0.47809012642223253
0.0,79.0,2.0,18.0,0.0,0.0,1.0,0.4782858458182449
0.0,78.0,2.0,19.0,0.0,0.0,1.0,0.484998798256332
0.0,77.0,2.0,20.0,0.0,0.0,1.0,0.4868189862328952
0.0,76.0,2.0,21.0,0.0,0.0,1.0,0.48784223821584277
0.0,76.0,2.0,20.0,0.0,0.0,2.0,0.4894955721131594
0.0,75.0,2.0,21.0,0.0,0.0,2.0,0.49833508321745623
0.0,74.0,2.0,22.0,0.0,0.0,2.0,0.5006776417485875
0.0,73.0,2.0,23.0,0.0,0.0,2.0,0.5011689212982237
0.0,73.0,3.0,22.0,0.0,0.0,2.0,0.5076908621021715
0.0,72.0,3.0,23.0,0.0,0.0,2.0,0.5242627194893533
0.0,71.0,3.0,24.0,0.0,0.0,2.0,0.5278399514774015
0.0,70.0,3.0,25.0,0.0,0.0,2.0,0.5350526455457051
0.0,69.0,3.0,26.0,0.0,0.0,2.0,0.5353980611559023
0.0,68.0,3.0,27.0,0.0,0.0,2.0,0.5359031346245321
0.0,68.0,4.0,26.0,0.0,0.0,2.0,0.5367030065904819
0.0,67.0,4.0,27.0,0.0,0.0,2.0,0.5371037231409221
0.0,66.0,4.0,28.0,0.0,0.0,2.0,0.5386074829538741
0.0,65.0,4.0,29.0,0.0,0.0,2.0,0.540890047913892
0.0,65.0,5.0,28.0,0.0,0.0,2.0,0.5434011934160836
0.0,64.0,5.0,29.0,0.0,0.0,2.0,0.5448872722002833
0.0,63.0,5.0,30.0,0.0,0.0,2.0,0.5448999142459455
0.0,63.0,5.0,29.0,0.0,0.0,3.0,0.5542902060632396
0.0,62.0,5.0,30.0,0.0,0.0,3.0,0.5574471027048357
0.0,61.0,5.0,31.0,0.0,0.0,3.0,0.5575486943405407
0.0,60.0,5.0,32.0,0.0,0.0,3.0,0.5575684358075778
0.0,59.0,5.0,33.0,0.0,0.0,3.0,0.5602630932574172
0.0,58.0,5.0,34.0,0.0,0.0,3.0,0.561474273499072
0.0,57.0,5.0,35.0,0.0,0.0,3.0,0.5624856871702981
0.0,56.0,5.0,36.0,0.0,0.0,3.0,0.5627617254102
0.0,56.0,5.0,35.0,0.0,0.0,4.0,0.5628220053769624
0.0,55.0,5.0,36.0,0.0,0.0,4.0,0.5649595207101087
0.0,54.0,5.0,37.0,0.0,0.0,4.0,0.5663102814078141
0.0,53.0,5.0,38.0,0.0,0.0,4.0,0.567697991713376
0.0,52.0,5.0,39.0,0.0,0.0,4.0,0.5692062863258205
0.0,51.0,5.0,40.0,0.0,0.0,4.0,0.5717519467641896
0.0,50.0,5.0,41.0,0.0,0.0,4.0,0.5734254205480322
0.0,49.0,5.0,42.0,0.0,0.0,4.0,0.574676144985373
0.0,49.0,6.0,41.0,0.0,0.0,4.0,0.5851981406774541
0.0,49.0,6.0,40.0,0.0,0.0,5.0,0.5857382797064917
0.0,48.0,6.0,41.0,0.0,0.0,5.0,0.5866068583959678
0.0,48.0,7.0,40.0,0.0,0.0,5.0,0.586775480545442
0.0,47.0,7.0,41.0,0.0,0.0,5.0,0.5868100274500816
0.0,46.0,7.0,42.0,0.0,0.0,5.0,0.5909495512983769
0.0,46.0,6.0,42.0,0.0,0.0,6.0,0.5955705073507913
0.0,46.0,6.0,41.0,0.0,0.0,7.0,0.5957232963166978
0.0,45.0,6.0,42.0,0.0,0.0,7.0,0.5972783219496542
0.0,44.0,6.0,43.0,0.0,0.0,7.0,0.5973162540108898
0.0,43.0,6.0,44.0,0.0,0.0,7.0,0.597614361611691
0.0,43.0,6.0,43.0,0.0,0.0,8.0,0.6036529306998322
0.0,43.0,7.0,42.0,0.0,0.0,8.0,0.6077909766649806
0.0,42.0,7.0,43.0,0.0,0.0,8.0,0.6078295550044733
0.0,42.0,8.0,42.0,0.0,0.0,8.0,0.6114043367192264
0.0,41.0,8.0,43.0,0.0,0.0,8.0,0.6129727462949044
0.0,41.0,8.0,42.0,0.0,0.0,9.0,0.6163093080818437
0.0,41.0,9.0,41.0,0.0,0.0,9.0,0.6170196021056907
0.0,40.0,9.0,42.0,0.0,0.0,9.0,0.6187011230609069
0.0,39.0,9.0,43.0,0.0,0.0,9.0,0.618965045890392
0.0,38.0,9.0,44.0,0.0,0.0,9.0,0.6193429685233801
0.0,37.0,9.0,45.0,0.0,0.0,9.0,0.6211432080571112
0.0,37.0,10.0,44.0,0.0,0.0,9.0,0.623116654198245
0.0,36.0,10.0,45.0,0.0,0.0,9.0,0.6235730724528993
0.0,36.0,10.0,44.0,0.0,0.0,10.0,0.6238932672111497
0.0,35.0,10.0,45.0,0.0,0.0,10.0,0.6262196198304133
0.0,34.0,10.0,46.0,0.0,0.0,10.0,0.6288527509290456
0.0,33.0,10.0,47.0,0.0,0.0,10.0,0.6297195540146184
0.0,32.0,10.0,48.0,0.0,0.0,10.0,0.6306156562698283
0.0,31.0,10.0,49.0,0.0,0.0,10.0,0.6345542149591432
0.0,30.0,10.0,50.0,0.0,0.0,10.0,0.6346062088843223
0.0,30.0,11.0,49.0,0.0,0.0,10.0,0.6371902386793187
0.0,29.0,11.0,50.0,0.0,0.0,10.0,0.6373497490154113
0.0,28.0,11.0,51.0,0.0,0.0,10.0,0.6375090052532173
0.0,27.0,11.0,52.0,0.0,0.0,10.0,0.6385186563911494
0.0,26.0,11.0,53.0,0.0,0.0,10.0,0.6400975494052752
0.0,26.0,12.0,52.0,0.0,0.0,10.0,0.6409463347218061
0.0,26.0,13.0,51.0,0.0,0.0,10.0,0.6426880076213033
0.0,25.0,13.0,52.0,0.0,0.0,10.0,0.6454880267184625
0.0,24.0,13.0,53.0,0.0,0.0,10.0,0.648260025677068
0.0,24.0,14.0,52.0,0.0,0.0,10.0,0.6522481163799089
0.0,23.0,14.0,53.0,0.0,0.0,10.0,0.652776991411376
0.0,22.0,14.0,54.0,0.0,0.0,10.0,0.6532460363889253
0.0,21.0,14.0,55.0,0.0,0.0,10.0,0.6571596159190499
0.0,21.0,14.0,54.0,0.0,0.0,11.0,0.6600215269359043
0.0,21.0,15.0,53.0,0.0,0.0,11.0,0.6603948392992942
0.0,21.0,16.0,52.0,0.0,0.0,11.0,0.6614622044348955
0.0,20.0,16.0,53.0,0.0,0.0,11.0,0.6620831700184269
0.0,19.0,16.0,54.0,0.0,0.0,11.0,0.6640881402464315
0.0,19.0,16.0,53.0,0.0,0.0,12.0,0.6650748756291259
0.0,18.0,16.0,54.0,0.0,0.0,12.0,0.6672856308481456
0.0,17.0,16.0,55.0,0.0,0.0,12.0,0.6701973026650995
0.0,16.0,16.0,56.0,0.0,0.0,12.0,0.670659779790095
0.0,15.0,16.0,57.0,0.0,0.0,12.0,0.6710603721246644
0.0,14.0,16.0,58.0,0.0,0.0,12.0,0.6741838420027056
0.0,14.0,16.0,57.0,0.0,0.0,13.0,0.6781373865517979
0.0,14.0,15.0,57.0,0.0,0.0,14.0,0.6815605212514922
0.0,14.0,16.0,56.0,0.0,0.0,14.0,0.6821586931078322
0.0,14.0,17.0,55.0,0.0,0.0,14.0,0.6985472157322836
0.0,13.0,17.0,56.0,0.0,0.0,14.0,0.7052808668013987
0.0,13.0,18.0,55.0,0.0,0.0,14.0,0.7062782788323541
0.0,13.0,19.0,54.0,0.0,0.0,14.0,0.7070979621673641
0.0,12.0,19.0,55.0,0.0,0.0,14.0,0.7081089492096008
0.0,11.0,19.0,56.0,0.0,0.0,14.0,0.7157355380902403
0.0,11.0,19.0,55.0,0.0,0.0,15.0,0.7158606270666774
0.0,10.0,19.0,56.0,0.0,0.0,15.0,0.7183359051490545
0.0,9.0,19.0,57.0,0.0,0.0,15.0,0.7187656021819031
0.0,8.0,19.0,58.0,0.0,0.0,15.0,0.7218792592201694
0.0,8.0,19.0,57.0,0.0,0.0,16.0,0.7247344521946455
0.0,7.0,19.0,58.0,0.0,0.0,16.0,0.7339404834182285
0.0,7.0,20.0,57.0,0.0,0.0,16.0,0.7339617871825463
0.0,7.0,20.0,56.0,0.0,0.0,17.0,0.7371874541517904
0.0,7.0,21.0,55.0,0.0,0.0,17.0,0.7400652150723238
0.0,6.0,21.0,56.0,0.0,0.0,17.0,0.7408387988294878
0.0,6.0,21.0,55.0,0.0,0.0,18.0,0.7409230687314841
0.0,5.0,21.0,56.0,0.0,0.0,18.0,0.7440350031578098
0.0,4.0,21.0,57.0,0.0,0.0,18.0,0.747375139204631
0.0,4.0,22.0,56.0,0.0,0.0,18.0,0.752893243709115
0.0,3.0,22.0,57.0,0.0,0.0,18.0,0.7601127656813623
0.0,2.0,22.0,58.0,0.0,0.0,18.0,0.7612007922565931
0.0,1.0,22.0,59.0,0.0,0.0,18.0,0.7614421648984185
0.0,0.0,22.0,60.0,0.0,0.0,18.0,0.7651535487833608
0.0,0.0,23.0,59.0,0.0,0.0,18.0,0.7752287776011577
0.0,0.0,24.0,58.0,0.0,0.0,18.0,0.7763780060480456
0.0,0.0,25.0,57.0,0.0,0.0,18.0,0.7774559545994929
0.0,0.0,24.0,57.0,0.0,0.0,19.0,0.7824015871435236
0.0,0.0,23.0,57.0,0.0,0.0,20.0,0.8018703594303866
0.0,0.0,24.0,56.0,0.0,0.0,20.0,0.811963123534865
0.0,0.0,24.0,55.0,0.0,0.0,21.0,0.814117888159189
0.0,0.0,25.0,54.0,0.0,0.0,21.0,0.8174939773485208
0.0,0.0,26.0,53.0,0.0,0.0,21.0,0.8235170190945054
0.0,0.0,25.0,53.0,0.0,0.0,22.0,0.8256734773803975
0.0,0.0,26.0,52.0,0.0,0.0,22.0,0.8303817154500888
0.0,0.0,27.0,51.0,0.0,0.0,22.0,0.839010565333953
0.0,0.0,28.0,50.0,0.0,0.0,22.0,0.8485067098086095
0.0,0.0,29.0,49.0,0.0,0.0,22.0,0.871011751192819
