V,B,W_B,C_B,C,W,P,t
98.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
97.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0006402866380756543
96.0,3.0,0.0,0.0,1.0,0.0,0.0,0.006764297635247857
95.0,4.0,0.0,0.0,1.0,0.0,0.0,0.009808447454421497
94.0,5.0,0.0,0.0,1.0,0.0,0.0,0.017068463861846874
93.0,6.0,0.0,0.0,1.0,0.0,0.0,0.018557058679509814
92.0,7.0,0.0,0.0,1.0,0.0,0.0,0.02186230714105147
91.0,8.0,0.0,0.0,1.0,0.0,0.0,0.02332557021711518
90.0,9.0,0.0,0.0,1.0,0.0,0.0,0.023569325514156365
89.0,10.0,0.0,0.0,1.0,0.0,0.0,0.023732425884271678
88.0,11.0,0.0,0.0,1.0,0.0,0.0,0.02381555997471495
87.0,12.0,0.0,0.0,1.0,0.0,0.0,0.025430251507711176
86.0,13.0,0.0,0.0,1.0,0.0,0.0,0.026067742586520008
85.0,14.0,0.0,0.0,1.0,0.0,0.0,0.02607815790228368
84.0,15.0,0.0,0.0,1.0,0.0,0.0,0.02699126263327067
83.0,16.0,0.0,0.0,1.0,0.0,0.0,0.028397032518416444
82.0,17.0,0.0,0.0,1.0,0.0,0.0,0.029919282480283034
81.0,18.0,0.0,0.0,1.0,0.0,0.0,0.03013154831257686
80.0,19.0,0.0,0.0,1.0,0.0,0.0,0.030165567138124835
79.0,20.0,0.0,0.0,1.0,0.0,0.0,0.030743614129592967
78.0,21.0,0.0,0.0,1.0,0.0,0.0,0.03106872315920131
77.0,22.0,0.0,0.0,1.0,0.0,0.0,0.03131339910296928
76.0,23.0,0.0,0.0,1.0,0.0,0.0,0.031316839961801866
75.0,24.0,0.0,0.0,1.0,0.0,0.0,0.03143809924247357
74.0,25.0,0.0,0.0,1.0,0.0,0.0,0.032345594658917405
73.0,26.0,0.0,0.0,1.0,0.0,0.0,0.03252426857828067
72.0,27.0,0.0,0.0,1.0,0.0,0.0,0.03273835086870444
71.0,28.0,0.0,0.0,1.0,0.0,0.0,0.032839366910146335
70.0,29.0,0.0,0.0,1.0,0.0,0.0,0.03340137560409131
69.0,30.0,0.0,0.0,1.0,0.0,0.0,0.03359194856463528
68.0,31.0,0.0,0.0,1.0,0.0,0.0,0.03372936810158788
67.0,32.0,0.0,0.0,1.0,0.0,0.0,0.034040395558975756
66.0,33.0,0.0,0.0,1.0,0.0,0.0,0.03439696375765521
65.0,34.0,0.0,0.0,1.0,0.0,0.0,0.03451865360545027
64.0,35.0,0.0,0.0,1.0,0.0,0.0,0.03453484522892649
63.0,36.0,0.0,0.0,1.0,0.0,0.0,0.035514944729681946
62.0,37.0,0.0,0.0,1.0,0.0,0.0,0.03654264061589292
61.0,38.0,0.0,0.0,1.0,0.0,0.0,0.03678119568109524
60.0,39.0,0.0,0.0,1.0,0.0,0.0,0.03712810635685632
59.0,40.0,0.0,0.0,1.0,0.0,0.0,0.037511296116874315
58.0,41.0,0.0,0.0,1.0,0.0,0.0,0.037578348412094356
57.0,42.0,0.0,0.0,1.0,0.0,0.0,0.03831078135616457
56.0,43.0,0.0,0.0,1.0,0.0,0.0,0.03859475516169612
55.0,44.0,0.0,0.0,1.0,0.0,0.0,0.03874501143972364
54.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0390708228571887
53.0,46.0,0.0,0.0,1.0,0.0,0.0,0.039115726572936056
52.0,47.0,0.0,0.0,1.0,0.0,0.0,0.03976067354849674
51.0,48.0,0.0,0.0,1.0,0.0,0.0,0.04039689766119652
51.0,48.0,0.0,1.0,0.0,0.0,0.0,0.04070370865239697
50.0,49.0,0.0,1.0,0.0,0.0,0.0,0.0411525464871318
49.0,50.0,0.0,1.0,0.0,0.0,0.0,0.04116205466394338
48.0,51.0,0.0,1.0,0.0,0.0,0.0,0.04139845992087644
47.0,52.0,0.0,1.0,0.0,0.0,0.0,0.041675833256654686
46.0,53.0,0.0,1.0,0.0,0.0,0.0,0.041755986984998064
45.0,54.0,0.0,1.0,0.0,0.0,0.0,0.04237871216199475
44.0,55.0,0.0,1.0,0.0,0.0,0.0,0.04244039227299657
43.0,56.0,0.0,1.0,0.0,0.0,0.0,0.04264348989207443
42.0,57.0,0.0,1.0,0.0,0.0,0.0,0.043202446521083605
41.0,58.0,0.0,1.0,0.0,0.0,0.0,0.043320188745727434
40.0,59.0,0.0,1.0,0.0,0.0,0.0,0.04413102503577369
39.0,60.0,0.0,1.0,0.0,0.0,0.0,0.04413530298149684
38.0,61.0,0.0,1.0,0.0,0.0,0.0,0.0442458414176421
37.0,62.0,0.0,1.0,0.0,0.0,0.0,0.044367625894148006
36.0,63.0,0.0,1.0,0.0,0.0,0.0,0.0449009826214687
35.0,64.0,0.0,1.0,0.0,0.0,0.0,0.045995165344979196
34.0,65.0,0.0,1.0,0.0,0.0,0.0,0.046289472399977265
33.0,66.0,0.0,1.0,0.0,0.0,0.0,0.04637187450944027
32.0,67.0,0.0,1.0,0.0,0.0,0.0,0.04723422173748397
31.0,68.0,0.0,1.0,0.0,0.0,0.0,0.04751196681299425
30.0,69.0,0.0,1.0,0.0,0.0,0.0,0.04758121045990846
29.0,70.0,0.0,1.0,0.0,0.0,0.0,0.04769588250519514
28.0,71.0,0.0,1.0,0.0,0.0,0.0,0.04781401108121889
27.0,72.0,0.0,1.0,0.0,0.0,0.0,0.04797175234140471
26.0,73.0,0.0,1.0,0.0,0.0,0.0,0.049541123394618455
25.0,74.0,0.0,1.0,0.0,0.0,0.0,0.05027692909617133
24.0,75.0,0.0,1.0,0.0,0.0,0.0,0.05133052054428067
23.0,76.0,0.0,1.0,0.0,0.0,0.0,0.052512814307730644
22.0,77.0,0.0,1.0,0.0,0.0,0.0,0.05266414332178568
21.0,78.0,0.0,1.0,0.0,0.0,0.0,0.05398405375774391
20.0,79.0,0.0,1.0,0.0,0.0,0.0,0.05469620425568401
19.0,80.0,0.0,1.0,0.0,0.0,0.0,0.055503851234808894
18.0,81.0,0.0,1.0,0.0,0.0,0.0,0.05655573365824826
17.0,82.0,0.0,1.0,0.0,0.0,0.0,0.05711505106128467
16.0,83.0,0.0,1.0,0.0,0.0,0.0,0.05781625966555901
15.0,84.0,0.0,1.0,0.0,0.0,0.0,0.05919688023678352
14.0,85.0,0.0,1.0,0.0,0.0,0.0,0.06017972396327357
13.0,86.0,0.0,1.0,0.0,0.0,0.0,0.06031763076658268
12.0,87.0,0.0,1.0,0.0,0.0,0.0,0.06250021579272713
11.0,88.0,0.0,1.0,0.0,0.0,0.0,0.06261748158328063
10.0,89.0,0.0,1.0,0.0,0.0,0.0,0.06284957967362179
9.0,90.0,0.0,1.0,0.0,0.0,0.0,0.06430702463410676
8.0,91.0,0.0,1.0,0.0,0.0,0.0,0.06533878202246678
7.0,92.0,0.0,1.0,0.0,0.0,0.0,0.06808621821375695
6.0,93.0,0.0,1.0,0.0,0.0,0.0,0.06829775903812109
5.0,94.0,0.0,1.0,0.0,0.0,0.0,0.07004189134161165
4.0,95.0,0.0,1.0,0.0,0.0,0.0,0.0788097537586214
3.0,96.0,0.0,1.0,0.0,0.0,0.0,0.08162780355165059
2.0,97.0,0.0,1.0,0.0,0.0,0.0,0.08251038562266483
1.0,98.0,0.0,1.0,0.0,0.0,0.0,0.09082596452588715
0.0,99.0,0.0,1.0,0.0,0.0,0.0,0.10592818081282988
0.0,99.0,0.0,0.0,0.0,0.0,1.0,0.9582044726887429
