V,B,W_B,C_B,C,W,P,t
98.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
97.0,2.0,0.0,0.0,1.0,0.0,0.0,5.154017388369301e-05
96.0,3.0,0.0,0.0,1.0,0.0,0.0,0.002046031747900218
95.0,4.0,0.0,0.0,1.0,0.0,0.0,0.003993593158100745
94.0,5.0,0.0,0.0,1.0,0.0,0.0,0.005771425506968481
93.0,6.0,0.0,0.0,1.0,0.0,0.0,0.006309725348313397
92.0,7.0,0.0,0.0,1.0,0.0,0.0,0.006477110942996883
91.0,8.0,0.0,0.0,1.0,0.0,0.0,0.007340737002703358
90.0,9.0,0.0,0.0,1.0,0.0,0.0,0.007651492105772598
89.0,10.0,0.0,0.0,1.0,0.0,0.0,0.007718841712118896
88.0,11.0,0.0,0.0,1.0,0.0,0.0,0.007967362712958892
87.0,12.0,0.0,0.0,1.0,0.0,0.0,0.008103951497628074
86.0,13.0,0.0,0.0,1.0,0.0,0.0,0.009239728327181876
85.0,14.0,0.0,0.0,1.0,0.0,0.0,0.009719155919670978
84.0,15.0,0.0,0.0,1.0,0.0,0.0,0.009856381122758783
83.0,16.0,0.0,0.0,1.0,0.0,0.0,0.010524078623947351
82.0,17.0,0.0,0.0,1.0,0.0,0.0,0.012750114241193256
81.0,18.0,0.0,0.0,1.0,0.0,0.0,0.013060872921505094
80.0,19.0,0.0,0.0,1.0,0.0,0.0,0.013516425771813327
79.0,20.0,0.0,0.0,1.0,0.0,0.0,0.014296758957778058
78.0,21.0,0.0,0.0,1.0,0.0,0.0,0.01477895827151561
77.0,22.0,0.0,0.0,1.0,0.0,0.0,0.014941754210072242
76.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0158184883461088
75.0,24.0,0.0,0.0,1.0,0.0,0.0,0.01639947254501998
74.0,25.0,0.0,0.0,1.0,0.0,0.0,0.016940923357597736
73.0,26.0,0.0,0.0,1.0,0.0,0.0,0.017259424394665587
72.0,27.0,0.0,0.0,1.0,0.0,0.0,0.017410353653423992
71.0,28.0,0.0,0.0,1.0,0.0,0.0,0.017476892272474922
70.0,29.0,0.0,0.0,1.0,0.0,0.0,0.01752488423620848
69.0,30.0,0.0,0.0,1.0,0.0,0.0,0.01758711544138849
68.0,31.0,0.0,0.0,1.0,0.0,0.0,0.017630506228189367
67.0,32.0,0.0,0.0,1.0,0.0,0.0,0.019270960024913148
66.0,33.0,0.0,0.0,1.0,0.0,0.0,0.019332253287224238
65.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0195563541526163
64.0,35.0,0.0,0.0,1.0,0.0,0.0,0.019747608267449986
63.0,36.0,0.0,0.0,1.0,0.0,0.0,0.019825175134016507
62.0,37.0,0.0,0.0,1.0,0.0,0.0,0.019940961263174302
61.0,38.0,0.0,0.0,1.0,0.0,0.0,0.020655509444003056
60.0,39.0,0.0,0.0,1.0,0.0,0.0,0.02092325685248533
59.0,40.0,0.0,0.0,1.0,0.0,0.0,0.020954323803747885
58.0,41.0,0.0,0.0,1.0,0.0,0.0,0.02140996544267901
57.0,42.0,0.0,0.0,1.0,0.0,0.0,0.02185157141189357
56.0,43.0,0.0,0.0,1.0,0.0,0.0,0.021944779266842126
55.0,44.0,0.0,0.0,1.0,0.0,0.0,0.02208095983275848
54.0,45.0,0.0,0.0,1.0,0.0,0.0,0.022180138048458215
53.0,46.0,0.0,0.0,1.0,0.0,0.0,0.023070813834413163
52.0,47.0,0.0,0.0,1.0,0.0,0.0,0.023340884302101954
51.0,48.0,0.0,0.0,1.0,0.0,0.0,0.023513902689980656
50.0,49.0,0.0,0.0,1.0,0.0,0.0,0.0240808769083227
49.0,50.0,0.0,0.0,1.0,0.0,0.0,0.02455460167013584
48.0,51.0,0.0,0.0,1.0,0.0,0.0,0.024676898917758924
47.0,52.0,0.0,0.0,1.0,0.0,0.0,0.025138882338981896
46.0,53.0,0.0,0.0,1.0,0.0,0.0,0.025268057463722425
45.0,54.0,0.0,0.0,1.0,0.0,0.0,0.025485799708523462
44.0,55.0,0.0,0.0,1.0,0.0,0.0,0.02557198102135625
43.0,56.0,0.0,0.0,1.0,0.0,0.0,0.026201509973400136
42.0,57.0,0.0,0.0,1.0,0.0,0.0,0.026370562261737316
41.0,58.0,0.0,0.0,1.0,0.0,0.0,0.027182207917810893
40.0,59.0,0.0,0.0,1.0,0.0,0.0,0.02818076724189057
39.0,60.0,0.0,0.0,1.0,0.0,0.0,0.028378015824120688
38.0,61.0,0.0,0.0,1.0,0.0,0.0,0.02842204743155544
37.0,62.0,0.0,0.0,1.0,0.0,0.0,0.029293937171541506
36.0,63.0,0.0,0.0,1.0,0.0,0.0,0.02950449651804901
35.0,64.0,0.0,0.0,1.0,0.0,0.0,0.02995373193655945
34.0,65.0,0.0,0.0,1.0,0.0,0.0,0.03011323663815426
33.0,66.0,0.0,0.0,1.0,0.0,0.0,0.030207561595786015
32.0,67.0,0.0,0.0,1.0,0.0,0.0,0.03079036707334169
31.0,68.0,0.0,0.0,1.0,0.0,0.0,0.03130970838158931
30.0,69.0,0.0,0.0,1.0,0.0,0.0,0.03200083517366896
30.0,69.0,0.0,1.0,0.0,0.0,0.0,0.03311731859089132
29.0,70.0,0.0,1.0,0.0,0.0,0.0,0.03317965798000877
28.0,71.0,0.0,1.0,0.0,0.0,0.0,0.03339543171437814
27.0,72.0,0.0,1.0,0.0,0.0,0.0,0.03438719887130779
26.0,73.0,0.0,1.0,0.0,0.0,0.0,0.03455669175766679
25.0,74.0,0.0,1.0,0.0,0.0,0.0,0.034984877895916255
24.0,75.0,0.0,1.0,0.0,0.0,0.0,0.035009542052539463
23.0,76.0,0.0,1.0,0.0,0.0,0.0,0.035111006366337044
22.0,77.0,0.0,1.0,0.0,0.0,0.0,0.035224327330777724
21.0,78.0,0.0,1.0,0.0,0.0,0.0,0.03531748078042215
20.0,79.0,0.0,1.0,0.0,0.0,0.0,0.03544615906327766
19.0,80.0,0.0,1.0,0.0,0.0,0.0,0.035557006678307995
18.0,81.0,0.0,1.0,0.0,0.0,0.0,0.035648773899245374
17.0,82.0,0.0,1.0,0.0,0.0,0.0,0.03595325348400055
16.0,83.0,0.0,1.0,0.0,0.0,0.0,0.03604611316979679
15.0,84.0,0.0,1.0,0.0,0.0,0.0,0.036230216394269786
14.0,85.0,0.0,1.0,0.0,0.0,0.0,0.03692998570388169
13.0,86.0,0.0,1.0,0.0,0.0,0.0,0.03787658044306547
12.0,87.0,0.0,1.0,0.0,0.0,0.0,0.039250446310300266
11.0,88.0,0.0,1.0,0.0,0.0,0.0,0.04053464606793351
10.0,89.0,0.0,1.0,0.0,0.0,0.0,0.04169485510751557
9.0,90.0,0.0,1.0,0.0,0.0,0.0,0.04214211031850747
8.0,91.0,0.0,1.0,0.0,0.0,0.0,0.04236578937770846
