V,B,W_B,C_B,C,W,P,t
98.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
97.0,2.0,0.0,0.0,1.0,0.0,0.0,0.020089922784321215
96.0,3.0,0.0,0.0,1.0,0.0,0.0,0.025797745966118456
95.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0324541616515729
94.0,5.0,0.0,0.0,1.0,0.0,0.0,0.03298606290501946
93.0,6.0,0.0,0.0,1.0,0.0,0.0,0.03599257629368302
92.0,7.0,0.0,0.0,1.0,0.0,0.0,0.03600546651744503
91.0,8.0,0.0,0.0,1.0,0.0,0.0,0.04107033306776328
90.0,9.0,0.0,0.0,1.0,0.0,0.0,0.041552672343831344
89.0,10.0,0.0,0.0,1.0,0.0,0.0,0.04361966656400986
88.0,11.0,0.0,0.0,1.0,0.0,0.0,0.04472079522943617
87.0,12.0,0.0,0.0,1.0,0.0,0.0,0.04710404640265078
86.0,13.0,0.0,0.0,1.0,0.0,0.0,0.04712792427961391
85.0,14.0,0.0,0.0,1.0,0.0,0.0,0.04781721547820138
84.0,15.0,0.0,0.0,1.0,0.0,0.0,0.04872363892833456
83.0,16.0,0.0,0.0,1.0,0.0,0.0,0.04972173032177583
82.0,17.0,0.0,0.0,1.0,0.0,0.0,0.04983757350450706
81.0,18.0,0.0,0.0,1.0,0.0,0.0,0.049929039897899874
80.0,19.0,0.0,0.0,1.0,0.0,0.0,0.05050900179658788
79.0,20.0,0.0,0.0,1.0,0.0,0.0,0.05081665869321684
78.0,21.0,0.0,0.0,1.0,0.0,0.0,0.051041372920835326
77.0,22.0,0.0,0.0,1.0,0.0,0.0,0.05149774369861096
76.0,23.0,0.0,0.0,1.0,0.0,0.0,0.051678997377260255
75.0,24.0,0.0,0.0,1.0,0.0,0.0,0.05182311511380977
74.0,25.0,0.0,0.0,1.0,0.0,0.0,0.052103607476801726
73.0,26.0,0.0,0.0,1.0,0.0,0.0,0.052842327048237304
72.0,27.0,0.0,0.0,1.0,0.0,0.0,0.052911914194269445
71.0,28.0,0.0,0.0,1.0,0.0,0.0,0.05320676568581524
70.0,29.0,0.0,0.0,1.0,0.0,0.0,0.05321226056517299
69.0,30.0,0.0,0.0,1.0,0.0,0.0,0.053433830158769846
68.0,31.0,0.0,0.0,1.0,0.0,0.0,0.05357707460470237
67.0,32.0,0.0,0.0,1.0,0.0,0.0,0.05363482536124217
66.0,33.0,0.0,0.0,1.0,0.0,0.0,0.054123970181901605
65.0,34.0,0.0,0.0,1.0,0.0,0.0,0.054264500108737526
64.0,35.0,0.0,0.0,1.0,0.0,0.0,0.054317886668325814
63.0,36.0,0.0,0.0,1.0,0.0,0.0,0.05439692686671351
62.0,37.0,0.0,0.0,1.0,0.0,0.0,0.0544300355458946
61.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0551484124757694
60.0,39.0,0.0,0.0,1.0,0.0,0.0,0.055424239203296255
59.0,40.0,0.0,0.0,1.0,0.0,0.0,0.05544489894479696
58.0,41.0,0.0,0.0,1.0,0.0,0.0,0.055631986136828265
